date,open,high,low,close,volume
2023-01-04 00:00:00+05:30,61294.65,61327.21,60593.56,60657.45,0
2023-01-05 00:00:00+05:30,60847.5,60877.06,60049.84,60353.27,0
2023-01-06 00:00:00+05:30,60388.74,60537.63,59669.91,59900.37,0
2023-01-09 00:00:00+05:30,60147.07,60889.41,60109.94,60747.31,0
2023-01-10 00:00:00+05:30,60805.14,60809.65,59938.38,60115.48,0
2023-01-11 00:00:00+05:30,60134.56,60364.77,59805.78,60105.5,0
2023-01-12 00:00:00+05:30,60083.03,60290.35,59632.32,59958.03,0
2023-01-13 00:00:00+05:30,60044.96,60418.26,59628.43,60261.18,0
2023-01-16 00:00:00+05:30,60550.5,60586.77,59963.83,60092.97,0
2023-01-17 00:00:00+05:30,60142.08,60704.48,60072.34,60655.72,0
2023-01-18 00:00:00+05:30,60716.03,61110.25,60569.19,61045.74,0
2023-01-19 00:00:00+05:30,60920.02,61032.47,60716.55,60858.43,0
2023-01-20 00:00:00+05:30,60901.16,61001.18,60585.25,60621.77,0
2023-01-23 00:00:00+05:30,60876.01,61113.27,60761.88,60941.67,0
2023-01-24 00:00:00+05:30,61122.2,61266.06,60849.12,60978.75,0
2023-01-25 00:00:00+05:30,60834.73,60899.21,60081.36,60205.06,0
2023-01-27 00:00:00+05:30,60166.9,60166.9,58974.7,59330.9,0
2023-01-30 00:00:00+05:30,59101.69,59644.24,58699.2,59500.41,0
2023-01-31 00:00:00+05:30,59770.83,59787.63,59104.59,59549.9,0
2023-02-01 00:00:00+05:30,60001.17,60773.44,58816.84,59708.08,0
2023-02-02 00:00:00+05:30,59459.87,60007.67,59215.62,59932.24,0
2023-02-03 00:00:00+05:30,60350.01,60905.34,60013.06,60841.88,0
2023-02-06 00:00:00+05:30,60847.21,60847.21,60345.61,60506.9,0
2023-02-07 00:00:00+05:30,60511.32,60655.14,60063.49,60286.04,0
2023-02-08 00:00:00+05:30,60332.99,60792.1,60324.92,60663.79,0
2023-02-09 00:00:00+05:30,60715.89,60863.63,60472.81,60806.22,0
2023-02-10 00:00:00+05:30,60706.81,60774.14,60501.74,60682.7,0
2023-02-13 00:00:00+05:30,60652.82,60740.95,60245.05,60431.84,0
2023-02-14 00:00:00+05:30,60550.25,61102.74,60550.25,61032.26,0
2023-02-15 00:00:00+05:30,60990.05,61352.55,60750.32,61275.09,0
2023-02-16 00:00:00+05:30,61566.22,61682.25,61196.72,61319.51,0
2023-02-17 00:00:00+05:30,60993.54,61302.72,60810.67,61002.57,0
2023-02-20 00:00:00+05:30,61112.84,61290.19,60607.02,60691.54,0
2023-02-21 00:00:00+05:30,60770.43,60976.59,60583.72,60672.72,0
2023-02-22 00:00:00+05:30,60391.86,60462.9,59681.55,59744.98,0
2023-02-23 00:00:00+05:30,59777.64,59960.04,59406.31,59605.8,0
2023-02-24 00:00:00+05:30,59859.48,59908.77,59325.34,59463.93,0
2023-02-27 00:00:00+05:30,59331.31,59441.13,58937.64,59288.35,0
2023-02-28 00:00:00+05:30,59346.61,59483.72,58795.97,58962.12,0
2023-03-01 00:00:00+05:30,59136.48,59475.45,59109.54,59411.08,0
2023-03-02 00:00:00+05:30,59287.18,59423.79,58866.26,58909.35,0
2023-03-03 00:00:00+05:30,59241.2,59967.04,59231.58,59808.97,0
2023-03-06 00:00:00+05:30,60007.04,60498.48,60005.65,60224.46,0
2023-03-08 00:00:00+05:30,59916.1,60402.85,59844.82,60348.09,0
2023-03-09 00:00:00+05:30,60467.09,60467.09,59750.53,59806.28,0
2023-03-10 00:00:00+05:30,59259.83,59262.47,58884.98,59135.13,0
2023-03-13 00:00:00+05:30,59033.77,59510.92,58094.55,58237.85,0
2023-03-14 00:00:00+05:30,58168.75,58490.98,57721.16,57900.19,0
2023-03-15 00:00:00+05:30,58268.54,58473.63,57455.67,57555.9,0
2023-03-16 00:00:00+05:30,57510.8,57887.46,57158.69,57634.84,0
2023-03-17 00:00:00+05:30,58038.17,58178.94,57503.9,57989.9,0
